question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,context_entity_recall,context_relevancy,answer_similarity,answer_correctness,,,,,,,,,,
What malware is associated with the 'Industroyer' attack?,"1. Industroyer and Industroyer2 malware frameworks
        2. Manipulation of control signals
        3. Unauthorized command injection
        4. Exploitation of vulnerable communication protocols, specifically IEC-104
        5. Impact to high-voltage electrical substations.","['[\'""description"": ""[Industroyer](https://attack.mitre.org/software/S0604) is a sophisticated malware framework designed to cause an impact to the working processes of Industrial Control Systems (ICS)\', \'specifically components used in electrical substations.(Citation: ESET Industroyer) [Industroyer](https://attack.mitre.org/software/S0604) was used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos Crashoverride 2017) This is the first publicly known malware ""description"": ""[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is a sophisticated piece of malware designed to cause an [Impact](https://collaborate.mitre.org/attackics/index.php/Impact) to the working processes of Industrial Control Systems (ICS)\', \'specifically ICSs used in electrical substations.(Citation: ESET Win32/Industroyer) Industroyer was alleged to be used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos ""description"": ""[Industroyer2](https://attack.mitre.org/software/S1072) is a compiled and static piece of malware that has the ability to communicate over the IEC-104 protocol. It is similar to the IEC-104 module found in [Industroyer](https://attack.mitre.org/software/S0604). Security researchers assess that [Industroyer2](https://attack.mitre.org/software/S1072) was designed to cause impact to high-voltage electrical substations. The initial ""description"": ""[Industroyer](https://attack.mitre.org/software/S0604) is a sophisticated malware framework designed to cause an impact to the working processes of Industrial Control Systems (ICS)\', \'specifically components used in electrical substations.(Citation: ESET Industroyer) [Industroyer](https://attack.mitre.org/software/S0604) was used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos Crashoverride 2017) This is the first publicly known malware ""description"": ""[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is a sophisticated piece of malware designed to cause an [Impact](https://collaborate.mitre.org/attackics/index.php/Impact) to the working processes of Industrial Control Systems (ICS)\', \'specifically ICSs used in electrical substations.(Citation: ESET Win32/Industroyer) Industroyer was alleged to be used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos ""description"": ""[Industroyer2](https://attack.mitre.org/software/S1072) is a compiled and static piece of malware that has the ability to communicate over the IEC-104 protocol. It is similar to the IEC-104 module found in [Industroyer](https://attack.mitre.org/software/S0604). Security researchers assess that [Industroyer2](https://attack.mitre.org/software/S1072) was designed to cause impact to high-voltage electrical substations. The initial\']']",The 'Industroyer' malware is associated with the 'Industroyer' attack.,0.2,0.890421170333991,0.9999999999,1,0.333333332222222,0.142857142857142,0.853502599420495,0.427661364140838,,,,,,,,,,
Which group is known for using 'TRITON' malware?,"TEMP.Veles is known for using 'TRITON' malware.

        Reference(s):
        - Miller, S. Reese, E. (2018, June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6, 2021.
        - Triton Safety Instrumented System Attack (Citation: Triton-EENews","['[\'""url"": ""https://www.eenews.net/articles/the-inside-story-of-the-worlds-most-dangerous-malware/""\\n                },\\n                {\\n                    ""source_name"": ""FireEye TRITON 2018"",\\n                    ""description"": ""Miller\', \'S. Reese\', \'E. (2018\', \'June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6\', \'2021.""\', \'""description"": ""[Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030) was a campaign employed by [TEMP.Veles](https://attack.mitre.org/groups/G0088) which leveraged the [Triton](https://attack.mitre.org/software/S1009) malware framework against a petrochemical organization.(Citation: Triton-EENews-2017) The malware and techniques used within this campaign targeted specific Triconex [Safety Controller](https://attack.mitre.org/assets/A0010)s within the ""description"": ""Jos Wetzels 2018\', \'January 16 Analyzing the TRITON industrial malware Retrieved. 2019/10/22 "",\\n                    ""url"": ""https://www.midnightbluelabs.com/blog/2018/1/16/analyzing-the-triton-industrial-malware""\\n                }\\n            ],\\n            ""object_marking_refs"": [\\n                ""marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168""\\n            ],\\n            ""modified"": ""2022-10-12T18:24:19.351Z""\', \'""description"": ""[Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030) was a campaign employed by [TEMP.Veles](https://attack.mitre.org/groups/G0088) which leveraged the [Triton](https://attack.mitre.org/software/S1009) malware framework against a petrochemical organization.(Citation: Triton-EENews-2017) The malware and techniques used within this campaign targeted specific Triconex [Safety Controller](https://attack.mitre.org/assets/A0010)s within the ""description"": ""Jos Wetzels 2018\', \'January 16 Analyzing the TRITON industrial malware Retrieved. 2019/10/22 "",\\n                    ""url"": ""https://www.midnightbluelabs.com/blog/2018/1/16/analyzing-the-triton-industrial-malware""\\n                }\\n            ],\\n            ""object_marking_refs"": [\\n                ""marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168""\\n            ],\\n            ""modified"": ""2022-10-12T18:24:19.351Z""\', \'""url"": ""https://www.eenews.net/articles/the-inside-story-of-the-worlds-most-dangerous-malware/""\\n                },\\n                {\\n                    ""source_name"": ""FireEye TRITON 2018"",\\n                    ""description"": ""Miller\', \'S. Reese\', \'E. (2018\', \'June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6\', \'2021."",\']']",The group 'TEMP.Veles' is known for using 'TRITON' malware.,1,0.753331985081506,0.9999999999,1,0.999999995,0.333333333333333,0.901679202889861,0.725419800722465,,,,,,,,,,
What is the purpose of the 'Havex' malware?,"The purpose of the Havex malware is to gain unauthorized access to industrial control systems (ICS) and potentially cause damage or disruption. This is achieved by using trojanized software installers available on legitimate ICS/SCADA vendor websites to infect host computers with a Remote Access Trojan (RAT).

         Additional information:
         - The Havex malware was analyzed by F-Secure Labs, who determined that the adversary used this method to compromise","['[\'""description"": ""Julian Rrushi\', \'Hassan Farhangi\', \'Clay Howey\', \'Kelly Carmichael\', \'Joey Dabell 2015\', \'December 08 A Quantitative Evaluation of the Target Selection of Havex ICS Malware Plugin Retrieved. 2019/04/01 ""\\n                }\\n            ],\\n            ""x_mitre_deprecated"": false,\\n            ""revoked"": false\', \'were nearly indistinguishable with a semblance of functionality and interface that mimics the genuine product. (Citation: Control Global May 2019) \\\\n\\\\nF-Secure Labs analyzed the approach the adversary used to compromise victim systems with Havex. (Citation: Daavid Hentunen\', \'Antti Tikkanen June 2014) The adversary planted trojanized software installers available on legitimate ICS/SCADA vendor websites. After being downloaded\', \'this software infected the host computer with a Remote Access Trojan ""description"": ""Kyle Wilhoit. (2014\', \'July 17). Havex\', \'It\\\\u2019s Down With OPC. Retrieved October 22\', \'2019."",\\n                    ""url"": ""https://www.fireeye.com/blog/threat-research/2014/07/havex-its-down-with-opc.html""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ]\', \'""description"": ""Julian Rrushi\', \'Hassan Farhangi\', \'Clay Howey\', \'Kelly Carmichael\', \'Joey Dabell 2015\', \'December 08 A Quantitative Evaluation of the Target Selection of Havex ICS Malware Plugin Retrieved. 2019/04/01 ""\\n                }\\n            ],\\n            ""x_mitre_deprecated"": false,\\n            ""revoked"": false\', \'were nearly indistinguishable with a semblance of functionality and interface that mimics the genuine product. (Citation: Control Global May 2019) \\\\n\\\\nF-Secure Labs analyzed the approach the adversary used to compromise victim systems with Havex. (Citation: Daavid Hentunen\', \'Antti Tikkanen June 2014) The adversary planted trojanized software installers available on legitimate ICS/SCADA vendor websites. After being downloaded\', \'this software infected the host computer with a Remote Access Trojan ""url"": ""https://www.f-secure.com/weblog/archives/00002718.html""\\n                },\\n                {\\n                    ""source_name"": ""Kyle Wilhoit"",\\n                    ""description"": ""Kyle Wilhoit Daavid Hentunen\', \'Antti Tikkanen 2014\', \'June 23 Havex Hunts For ICS/SCADA Systems Retrieved. 2019/04/01  ICS Malware: Havex and Black Energy Retrieved. 2019/10/22 "",\\n                    ""url"": ""https://www.youtube.com/watch?v=eywmb7UDODY&feature=youtu.be&t=939""\\n                }\']']","The 'Havex' malware is used for espionage, specifically targeting industrial control systems.",0.5,0.9909132026951,0.9999999999,1,0,0,0.910741546330471,0.602685386582617,,,,,,,,,,
What is the relationship between 'BlackEnergy' malware and the 'Sandworm Team' group?,"The 'BlackEnergy' malware has been used by the 'Sandworm Team' group in targeted attacks, such as the 2015 incident in Ukraine where they sent spearphishing attachments containing malware to gain access to energy distribution companies. This is supported by the report from iSIGHT Sandworm 2014 and F-Secure Labs (2014), which also mentions the use of BlackEnergy by both criminal","['[\'""description"": ""F-Secure Labs. (2014). BlackEnergy & Quedagh: The convergence of crimeware and APT attacks. Retrieved March 24\', \'2016."",\\n                    ""url"": ""https://blog-assets.f-secure.com/wp-content/uploads/2019/10/15163408/BlackEnergy_Quedagh.pdf""\\n                },\\n                {\\n                    ""source_name"": ""iSIGHT Sandworm 2014""\', \'""description"": ""In the Ukraine 2015 incident\', \'[Sandworm Team](https://attack.mitre.org/groups/G0034) sent spearphishing attachments to three energy distribution companies containing malware to gain access to victim systems. (Citation: UNITED STATES DISTRICT COURT WESTERN DISTRICT OF PENNSYLVANIA October 2020)"",\\n            ""relationship_type"": ""uses"",\\n            ""source_ref"": ""intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192""\', \'""description"": ""[BlackEnergy](https://attack.mitre.org/software/S0089) is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks\', \'but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008\', \'as well as in targeting Ukrainian institutions. ""description"": ""[BlackEnergy](https://attack.mitre.org/software/S0089) is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks\', \'but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008\', \'as well as in targeting Ukrainian institutions. ""description"": ""In the Ukraine 2015 incident\', \'[Sandworm Team](https://attack.mitre.org/groups/G0034) sent spearphishing attachments to three energy distribution companies containing malware to gain access to victim systems. (Citation: UNITED STATES DISTRICT COURT WESTERN DISTRICT OF PENNSYLVANIA October 2020)"",\\n            ""relationship_type"": ""uses"",\\n            ""source_ref"": ""intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192""\', \'""description"": ""F-Secure Labs. (2014). BlackEnergy & Quedagh: The convergence of crimeware and APT attacks. Retrieved March 24\', \'2016."",\\n                    ""url"": ""https://blog-assets.f-secure.com/wp-content/uploads/2019/10/15163408/BlackEnergy_Quedagh.pdf""\\n                },\\n                {\\n                    ""source_name"": ""iSIGHT Sandworm 2014"",\']']",'BlackEnergy' malware is used by the 'Sandworm Team' group.,1,0.887688617105539,0.9999999999,1,0.999999995,0.5,0.960972832625091,0.990243208156272,,,,,,,,,,
What is the goal of 'T0804: block Reporting Message' in ICS environments?,"The goal of 'T0804: block Reporting Message' in ICS environments is to prevent the normal flow of telemetry data from reaching its intended target, potentially hiding the adversary's actions from operators and contributing to system impact. This technique may be used for evasion or to impair process control.","['[\'""relationship_type"": ""mitigates"",\\n            ""description"": ""Provide an alternative method for sending critical report messages to operators\', \'this could include using radio/cell communication to obtain messages from field technicians that can locally obtain telemetry and status data.\\\\n"",\\n            ""source_ref"": ""course-of-action--b11cad63-ef30-4eb8-af0d-6cc46eef3f3e"",\\n            ""target_ref"": ""attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b""\', \'""description"": ""Adversaries may block or prevent a reporting message from reaching its intended target. In control systems\', \'reporting messages contain telemetry data (e.g.\', \'I/O values) pertaining to the current state of equipment and the industrial process. By blocking these reporting messages\', \'an adversary can potentially hide their actions from an operator.\\\\n\\\\nBlocking reporting messages in control systems that manage physical processes may contribute to system impact\', \'causing ""description"": ""Monitor operational data for indicators of temporary data loss which may indicate a Denial of Service. This will not directly detect the technique\\\\u2019s execution\', \'but instead may provide additional evidence that the technique has been used and may complement other detections."",\\n            ""relationship_type"": ""detects"",\\n            ""source_ref"": ""x-mitre-data-component--931b3fc6-ad68-42a8-9018-e98515eedc95""\', \'""description"": ""Adversaries may block or prevent a reporting message from reaching its intended target. In control systems\', \'reporting messages contain telemetry data (e.g.\', \'I/O values) pertaining to the current state of equipment and the industrial process. By blocking these reporting messages\', \'an adversary can potentially hide their actions from an operator.\\\\n\\\\nBlocking reporting messages in control systems that manage physical processes may contribute to system impact\', \'causing ""description"": ""Adversaries may spoof reporting messages in control system environments for evasion and to impair process control. In control systems\', \'reporting messages contain telemetry data (e.g.\', \'I/O values) pertaining to the current state of equipment and the industrial process. Reporting messages are important for monitoring the normal operation of a system or identifying important events such as deviations from expected values. \\\\n\\\\nIf an adversary has the ability to Spoof ""description"": ""Adversaries may modify alarm settings to prevent alerts that may inform operators of their presence or to prevent responses to dangerous and unintended scenarios. Reporting messages are a standard part of data acquisition in control systems. Reporting messages are used as a way to transmit system state information and acknowledgements that specific actions have occurred. These messages provide vital information for the management of a physical process\', \'and keep\']']",1. Goal A: To hide the adversary's actions from the operator by blocking reporting messages containing telemetry data from reaching their intended target. 2. Goal B: To cause system impact by disrupting data acquisition and process control through the blocking of important reporting messages.,0.6,0.999999999999999,0.9999999999,1,0.666666665555555,0.0625,0.920851164823655,0.605212791205913,,,,,,,,,,
Which malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS)?,Triton malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS).,"['[\'""description"": ""Dragos. (2017\', \'December 13). TRISIS Malware Analysis of Safety System Targeted Malware. Retrieved January 12\', \'2018."",\\n                    ""url"": ""https://dragos.com/blog/trisis/TRISIS-01.pdf""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ]\', \'""created"": ""2023-03-30T19:25:22.673Z"",\\n            ""revoked"": false,\\n            ""external_references"": [\\n                {\\n                    ""source_name"": ""Industroyer2 Forescout July 2022"",\\n                    ""description"": ""Forescout. (2022\', \'July 14). Industroyer2 and  INCONTROLLER In-depth Technical Analysis of the Most Recent ICS-specific Malware. Retrieved March 30\', \'2023.""\', \'""url"": ""https://www.eenews.net/articles/the-inside-story-of-the-worlds-most-dangerous-malware/""\\n                },\\n                {\\n                    ""source_name"": ""FireEye TRITON 2018"",\\n                    ""description"": ""Miller\', \'S. Reese\', \'E. (2018\', \'June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6\', \'2021.""\', \'""description"": ""[Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030) was a campaign employed by [TEMP.Veles](https://attack.mitre.org/groups/G0088) which leveraged the [Triton](https://attack.mitre.org/software/S1009) malware framework against a petrochemical organization.(Citation: Triton-EENews-2017) The malware and techniques used within this campaign targeted specific Triconex [Safety Controller](https://attack.mitre.org/assets/A0010)s within the ""description"": ""[Triton](https://attack.mitre.org/software/S1009)\\\'s injector\', \'inject.bin\', \'masquerades as a standard compiled PowerPC program for the Tricon. (Citation: DHS CISA February 2019)\\\\n\\\\n[Triton](https://attack.mitre.org/software/S1009) was configured to masquerade as trilog.exe\', \'which is the Triconex software for analyzing SIS logs.(Citation: FireEye TRITON)"",\\n            ""relationship_type"": ""uses"",\\n            ""source_ref"": ""malware--80099a91-4c86-4bea-9ccb-dac55d61960e""\', \'""description"": ""[Triton](https://collaborate.mitre.org/attackics/index.php/Software/S0013)\', \'can reprogram the SIS logic to cause it to trip and shutdown a process that is\', \'in actuality\', \'in a safe state. In other words\', \'trigger a false positive. Triton also can reprogram the SIS logic to allow unsafe conditions to persist.(Citation: FireEye TRITON Dec 2017)The Triton malware is able to add a malicious program to the execution table of the controller. This action leaves the legitimate\']']",The 'TRITON' malware is designed to target Schneider Electric Triconex SIS.,0,0.853752082550172,0.9999999999,1,0.333333332222222,0.142857142857142,0.981074736232202,0.99526868405805,,,,,,,,,,
What is 'T0812: Module Firmware' used for in ICS attacks?,"Adversaries may install malicious or vulnerable firmware onto modular hardware devices in ICS attacks. Control system devices often contain modular hardware devices, each of which may have their own set of firmware that is separate from the firmware of the main control system equipment. This technique is similar to System Firmware (T0857), but is conducted on other system components that may not have the same capabilities or level of security as the main system.
         For instance,","['[\'""relationship_type"": ""mitigates"",\\n            ""description"": ""Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.\\\\n"",\\n            ""source_ref"": ""course-of-action--d48b79b2-076d-483e-949c-0d38aa347499"",\\n            ""target_ref"": ""attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0""\', \'""name"": ""Asset Inventory"",\\n            ""description"": ""This includes sources of current and expected devices on the network\', \'including the manufacturer\', \'model\', \'and necessary identifiers (e.g.\', \'IP and hardware addresses)"",\\n            ""x_mitre_data_source_ref"": ""x-mitre-data-source--b1717cb4-d536-4e2b-b5e5-07e67e26183c"",\\n            ""x_mitre_deprecated"": false,\\n            ""x_mitre_domains"": [\\n                ""enterprise-attack"",\\n                ""ics-attack""\\n            ]\', \'""x_mitre_version"": ""15.1"",\\n            ""description"": ""The ATT&CK for Industrial Control Systems (ICS) knowledge base categorizes the unique set of tactics\', \'techniques\', \'and procedures (TTPs) used by threat actors in the ICS technology domain. ATT&CK for ICS outlines the portions of an ICS attack that are out of scope of Enterprise and reflects the various phases of an adversary\\\\u2019s attack life cycle and the assets and systems they are known to target.""\', \'""description"": ""Adversaries may install malicious or vulnerable firmware onto modular hardware devices. Control system devices often contain modular hardware devices. These devices may have their own set of firmware that is separate from the firmware of the main control system equipment.   \\\\n\\\\nThis technique is similar to [System Firmware](https://attack.mitre.org/techniques/T0857)\', \'but is conducted on other system components that may not have the same capabilities or level of ""description"": ""[INCONTROLLER](https://attack.mitre.org/software/S1045) is custom malware that includes multiple modules tailored towards ICS devices and technologies\', \'including Schneider Electric and Omron PLCs as well as OPC UA\', \'Modbus\', \'and CODESYS protocols. [INCONTROLLER](https://attack.mitre.org/software/S1045) has the ability to discover specific devices\', \'download logic on the devices\', \'and exploit platform-specific vulnerabilities. As of September 2022\', \'some security ""description"": ""[TEMP.Veles](https://attack.mitre.org/groups/G0088) targeted several ICS vendors and manufacturers. (Citation: Dragos Threat Intelligence August 2019)"",\\n            ""relationship_type"": ""uses"",\\n            ""source_ref"": ""intrusion-set--9538b1a4-4120-4e2d-bf59-3b11fcab05a4"",\\n            ""target_ref"": ""attack-pattern--5e0f75da-e108-4688-a6de-a4f07cc2cbe3"",\\n            ""x_mitre_deprecated"": false,\\n            ""x_mitre_version"": ""1.0"",\']']","Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to change the passwords for these accounts as soon as possible, but some manufacturers may have devices that have passwords or usernames that cannot be changed.Â Default credentials are normally documented in an instruction manual that is either packaged with the device, published online through official means, or published online through unofficial means. Adversaries may leverage default credentials that have not been properly modified or disabled.",0.8,0.888577944075044,0.9999999999,0,0.15384615372781,0.125,0.822310992450877,0.205577748112719,,,,,,,,,,
Which group is associated with the 'Industroyer' attack?,"The Industroyer attack is associated with the OilRig group, a suspected Iranian threat group that has targeted various sectors since at least 2014.","['[\'(HMI)](https://attack.mitre.org/assets/A0002). The sectors that these PLCs can be commonly found in are water and wastewater\', \'energy\', \'food and beverage manufacturing\', \'and healthcare. The most notable feature of this attack was the defacement of the PLCs\\\' HMIs.(Citation: CISA AA23-335A IRGC-Affiliated December 2023)(Citation: Frank Bajak and Marc Levy December 2023)""\', \'{\\n                    ""source_name"": ""Ionut Arghire August 2019"",\\n                    ""description"": ""Ionut Arghire 2019\', \'August 28 Researchers Analyze Tools Used by \\\'Hexane\\\' Attackers Against Industrial Firms Retrieved. 2020/01/03 "",\\n                    ""url"": ""https://www.securityweek.com/researchers-analyze-tools-used-hexane-attackers-against-industrial-firms""\\n                },\\n                {\\n                    ""source_name"": ""Jeffery Burt August 2019""\', \'""relationship_type"": ""mitigates"",\\n            ""description"": ""Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.\\\\n"",\\n            ""source_ref"": ""course-of-action--d48b79b2-076d-483e-949c-0d38aa347499"",\\n            ""target_ref"": ""attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0""\', \'""description"": ""[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is a sophisticated piece of malware designed to cause an [Impact](https://collaborate.mitre.org/attackics/index.php/Impact) to the working processes of Industrial Control Systems (ICS)\', \'specifically ICSs used in electrical substations.(Citation: ESET Win32/Industroyer) Industroyer was alleged to be used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos ""description"": ""[OilRig](https://attack.mitre.org/groups/G0049) is a suspected Iranian threat group that has targeted Middle Eastern and international victims since at least 2014. The group has targeted a variety of sectors\', \'including financial\', \'government\', \'energy\', \'chemical\', \'and telecommunications. It appears the group carries out supply chain attacks\', \'leveraging the trust relationship between organizations to attack their primary targets. The group works on behalf of the Iranian (HMI)](https://attack.mitre.org/assets/A0002). The sectors that these PLCs can be commonly found in are water and wastewater\', \'energy\', \'food and beverage manufacturing\', \'and healthcare. The most notable feature of this attack was the defacement of the PLCs\\\' HMIs.(Citation: CISA AA23-335A IRGC-Affiliated December 2023)(Citation: Frank Bajak and Marc Levy December 2023)"",\']']",The group associated with the 'Industroyer' attack is 'Sandworm Team'.,0.666666666666666,0.951440811885758,0.9999999999,0,0.4999999975,0.2,0.865923669659255,0.466480917414813,,,,,,,,,,
What does 'T0806: Brute Force I/O' entail in ICS environments?,"Adversaries may repetitively or successively change I/O point values to perform an action. Brute Force I/O may be achieved by changing either a range of I/O point values or a single point value repeatedly to manipulate a process function. The adversary's goal and the information they have about the target environment will influence which of the options they choose. In the case of brute forcing a range of point values, the adversary may be able to achieve an","['[\'""description"": ""Adversaries may repetitively or successively change I/O point values to perform an action. Brute Force I/O may be achieved by changing either a range of I/O point values or a single point value repeatedly to manipulate a process function. The adversary\\\'s goal and the information they have about the target environment will influence which of the options they choose. In the case of brute forcing a range of point values\', \'the adversary may be able to achieve an impact uses IOPCBrowseServerAddressSpace to look for items with the following strings: ctlSelOn\', \'ctlOperOn\', \'ctlSelOff\', \'ctlOperOff\', \'Pos and stVal.(Citation: ESET Industroyer)\\\\n\\\\n[Industroyer](https://attack.mitre.org/software/S0604) IEC 60870-5-104 module includes a range mode to discover Information Object Addresses (IOAs) by enumerating through each.(Citation: ESET Industroyer)""\', \'""description"": ""ICS-CERT. (2017\', \'October 21). Advanced Persistent Threat Activity Targeting Energy and Other Critical Infrastructure Sectors. Retrieved October 23\', \'2017."",\\n                    ""url"": ""https://www.us-cert.gov/ncas/alerts/TA17-293A""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack"" ""description"": ""Adversaries may repetitively or successively change I/O point values to perform an action. Brute Force I/O may be achieved by changing either a range of I/O point values or a single point value repeatedly to manipulate a process function. The adversary\\\'s goal and the information they have about the target environment will influence which of the options they choose. In the case of brute forcing a range of point values\', \'the adversary may be able to achieve an impact ""description"": ""The adversary is trying to get into your ICS environment.\\\\n\\\\nInitial Access consists of techniques that adversaries may use as entry vectors to gain an initial foothold within an ICS environment. These techniques include compromising operational technology assets\', \'IT resources in the OT network\', \'and external remote services and websites. They may also target third party entities and users with privileged access. In particular\', \'these initial access footholds may ""description"": ""Adversaries may exploit a software vulnerability to take advantage of a programming error in a program\', \'service\', \'or within the operating system software or kernel itself to enable remote service abuse. A common goal for post-compromise exploitation of remote services is for initial access into and lateral movement throughout the ICS environment to enable access to targeted systems. (Citation: Enterprise ATT&CK)\\\\n\\\\nICS asset owners and operators have been affected by\']']",T0806: Brute Force I/O' involves sending rapid input/output commands to cause disruptions.,1,0.798689799614618,0.9999999999,0,0.99999999,0.111111111111111,0.842027812975129,0.210506953243782,,,,,,,,,,
What role does 'T0835: Manipulate I/O Image' play in ICS attacks?,"The 'T0835: Manipulate I/O Image' technique is used by threat actors to collect the I/O Image state of a Programmable Logic Controller (PLC). This technique allows adversaries to access the PLC's internal data, which can be used to disrupt, compromise, destroy, and manipulate the integrity and availability of control system operations, processes, devices, and data. This technique is often employed to make changes to the PLC'","['[\'""relationship_type"": ""mitigates"",\\n            ""description"": ""Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.\\\\n"",\\n            ""source_ref"": ""course-of-action--d48b79b2-076d-483e-949c-0d38aa347499"",\\n            ""target_ref"": ""attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0""\', \'""description"": ""A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk."",\\n            ""x_mitre_modified_by_ref"": ""identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ],\\n            ""x_mitre_version"": ""1.0"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""type"": ""course-of-action""\', \'""x_mitre_version"": ""15.1"",\\n            ""description"": ""The ATT&CK for Industrial Control Systems (ICS) knowledge base categorizes the unique set of tactics\', \'techniques\', \'and procedures (TTPs) used by threat actors in the ICS technology domain. ATT&CK for ICS outlines the portions of an ICS attack that are out of scope of Enterprise and reflects the various phases of an adversary\\\\u2019s attack life cycle and the assets and systems they are known to target.""\', \'""description"": ""The adversary is trying to manipulate\', \'interrupt\', \'or destroy your ICS systems\', \'data\', \'and their surrounding environment.\\\\n\\\\nImpact consists of techniques that adversaries use to disrupt\', \'compromise\', \'destroy\', \'and manipulate the integrity and availability of control system operations\', \'processes\', \'devices\', \'and data. These techniques encompass the influence and effects resulting from adversarial efforts to attack the ICS environment or that tangentially impact it. Impact updates the output image table. The contents of this output image table are written to the corresponding output points in I/O Modules.\\\\n\\\\nThe Input and Output Image tables described above make up the I/O Image on a PLC. This image is used by the user program instead of directly interacting with physical I/O. (Citation: Spenneberg\', \'Ralf 2016) \\\\n\\\\nAdversaries may collect the I/O Image state of a PLC by utilizing a devices [Native API](https://attack.mitre.org/techniques/T0834) to access the ],\\n            ""modified"": ""2022-10-12T15:40:18.975Z"",\\n            ""description"": ""[ALLANITE](https://attack.mitre.org/groups/G1000) has been identified to collect and distribute screenshots of ICS systems such as HMIs. (Citation: Dragos) (Citation: ICS-CERT October 2017)"",\\n            ""relationship_type"": ""uses"",\\n            ""source_ref"": ""intrusion-set--190242d7-73fc-4738-af68-20162f7a5aae"",\\n            ""target_ref"": ""attack-pattern--c5e3cdbc-0387-4be9-8f83-ff5c0865f377"",\']']",T0835: Manipulate I/O Image' involves altering input/output images to disrupt ICS processes.,0.333333333333333,0.923947380845104,0.9999999999,1,0,0.0909090909090909,0.896003857587822,0.524000964396955,,,,,,,,,,
