question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
What malware is associated with the 'Industroyer' attack?,The 'Industroyer' malware is associated with the 'Industroyer' attack.,"['[""The \'Industroyer\' malware is associated with the \'Industroyer\' attack.""]']",The 'Industroyer' malware is associated with the 'Industroyer' attack.,0.972383340380026,1,1,,,,,,
Which group is known for using 'TRITON' malware?,The group 'TEMP.Veles' is known for using 'TRITON' malware.,"['[""The group \'TEMP.Veles\' is known for using \'TRITON\' malware.""]']",The group 'TEMP.Veles' is known for using 'TRITON' malware.,0.808415574842574,1,0.75,,,,,,
What is the purpose of the 'Havex' malware?,"The 'Havex' malware is used for espionage, specifically targeting industrial control systems.","['[""The \'Havex\' malware is used for espionage"", \'specifically targeting industrial control systems.\']']","The 'Havex' malware is used for espionage, specifically targeting industrial control systems.",0.973190367128121,1,1,,,,,,
What is the relationship between 'BlackEnergy' malware and the 'Sandworm Team' group?,'BlackEnergy' malware is used by the 'Sandworm Team' group.,"['[""\'BlackEnergy\' malware is used by the \'Sandworm Team\' group.""]']",'BlackEnergy' malware is used by the 'Sandworm Team' group.,0.899560883925721,0.999998657330769,1,,,,,,
What is the goal of 'T0804: block Reporting Message' in ICS environments?,The goal of 'T0804: Block Reporting Message' is to send false data to ICS operators.,"['[""The goal of \'T0804: Block Reporting Message\' is to send false data to ICS operators.""]']",1. Goal A: To hide the adversary's actions from the operator by blocking reporting messages containing telemetry data from reaching their intended target. 2. Goal B: To cause system impact by disrupting data acquisition and process control through the blocking of important reporting messages.,0.951523237917069,0.865411356755898,0.216352839188974,,,,,,
Which malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS)?,The 'TRITON' malware is designed to target Schneider Electric Triconex SIS.,"['[""The \'TRITON\' malware is designed to target Schneider Electric Triconex SIS.""]']",The 'TRITON' malware is designed to target Schneider Electric Triconex SIS.,0.860894346187724,1,1,,,,,,
What is 'T0812: Module Firmware' used for in ICS attacks?,'T0812: Module Firmware' is used to modify or replace firmware in ICS devices.,"['[""\'T0812: Module Firmware\' is used to modify or replace firmware in ICS devices.""]']","Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to change the passwords for these accounts as soon as possible, but some manufacturers may have devices that have passwords or usernames that cannot be changed.Â Default credentials are normally documented in an instruction manual that is either packaged with the device, published online through official means, or published online through unofficial means. Adversaries may leverage default credentials that have not been properly modified or disabled.",0.956997389404389,0.764646463034891,0.491161615758722,,,,,,
Which group is associated with the 'Industroyer' attack?,The group associated with the 'Industroyer' attack is 'Sandworm Team'.,"['[""The group associated with the \'Industroyer\' attack is \'Sandworm Team\'.""]']",The group associated with the 'Industroyer' attack is 'Sandworm Team'.,0.995758989155996,1,1,,,,,,
What does 'T0806: Brute Force I/O' entail in ICS environments?,'T0806: Brute Force I/O' involves sending rapid input/output commands to cause disruptions.,"['[""\'T0806: Brute Force I/O\' involves sending rapid input/output commands to cause disruptions.""]']",T0806: Brute Force I/O' involves sending rapid input/output commands to cause disruptions.,0.953433974102184,0.993412538747573,0.623353134686893,,,,,,
What role does 'T0835: Manipulate I/O Image' play in ICS attacks?,T0835: Manipulate I/O Image' involves altering input/output images to disrupt ICS processes.,"['[""T0835: Manipulate I/O Image\' involves altering input/output images to disrupt ICS processes.""]']",T0835: Manipulate I/O Image' involves altering input/output images to disrupt ICS processes.,0.907232436275393,1,1,,,,,,
What is the function of 'T0886: Remote Services' in ICS attacks?,T0886: Remote Services' allows attackers to access ICS devices remotely.,"['[""T0886: Remote Services\' allows attackers to access ICS devices remotely.""]']","Adversaries may leverage remote services to move between assets and network segments. These services are often used to allow operators to interact with systems remotely within the network, some examples are RDP, SMB, SSH, and other similar mechanisms.Â  Remote services could be used to support remote access, data transmission, authentication, name resolution, and other remote functions. Further, remote services may be necessary to allow operators and administrators to configure systems within the network from their engineering or management workstations. An adversary may use this technique to access devices which may be dual-homed [1] to multiple network segments, and can be used for Program Download or to execute attacks on control devices directly through Valid Accounts.",0.845831078714788,0.816834795615842,0.20420869890396,,,,,,
Which group is known for targeting critical infrastructure with 'BlackEnergy'?,The 'Sandworm Team' is known for targeting critical infrastructure with 'BlackEnergy'.,"['[""The \'Sandworm Team\' is known for targeting critical infrastructure with \'BlackEnergy\'.""]']",The 'Sandworm Team' is known for targeting critical infrastructure with 'BlackEnergy'.,0.878794014205917,1,1,,,,,,
What does the 'Collection' tactic involve in ICS environments?,The 'Collection' tactic involves gathering information from ICS systems for future attacks.,"['[""The \'Collection\' tactic involves gathering information from ICS systems for future attacks.""]']","The adversary is trying to gather data of interest and domain knowledge on your ICS environment to inform their goal. Collection consists of techniques adversaries use to gather domain knowledge and obtain contextual feedback in an ICS environment. This tactic is often performed as part of Discovery, to compile data on control systems and targets of interest that may be used to follow through on the adversaryâ€™s objective. Examples of these techniques include observing operation states, capturing screenshots, identifying unique device roles, and gathering system and diagram schematics. Collection of this data can play a key role in planning, executing, and even revising an ICS-targeted attack. Methods of collection depend on the categories of data being targeted, which can include protocol specific, device specific, and process specific configurations and functionality. Information collected may pertain to a combination of system, supervisory, device, and network related data, which conceptually fall under high, medium, and low levels of plan operations. For example, information repositories on plant data at a high level or device specific programs at a low level. Sensitive floor plans, vendor device manuals, and other references may also be at risk and exposed on the internet or otherwise publicly accessible.",0.925181612808039,0.908861568752886,0.302215392188221,,,,,,
"What intrusion set uses the ""Alarm Suppression"" attack pattern?","The intrusion set ""Triton"" uses the ""Alarm Suppression"" attack pattern.","['[\'The intrusion set ""Triton"" uses the ""Alarm Suppression"" attack pattern.\']']","The Maroochy Water Breach intrusion set is known to use the ""Alarm Suppression"" attack pattern.",0.889046634346719,0.903885440122478,0.225971360030619,,,,,,
"Which malware is known to target industrial control systems with ""Data Destruction"" techniques?","The malware ""Industroyer"" is known to target industrial control systems using ""Data Destruction"" techniques.","['[\'The malware ""Industroyer"" is known to target industrial control systems using ""Data Destruction"" techniques.\']']","The malware ""INCONTROLLER"", ""Industroyer"" and ""killdisk"" are known to target industrial control systems using ""Data Destruction"" techniques.",0.888395556626937,0.964240521718466,0.741060130429616,,,,,,
"What is the primary purpose of the ""Inhibit Response Function"" technique in ICS?","The primary purpose of the ""Inhibit Response Function"" technique is to prevent systems from taking corrective actions in response to faults or attacks.","['[\'The primary purpose of the ""Inhibit Response Function"" technique is to prevent systems from taking corrective actions in response to faults or attacks.\']']","The adversary is trying to prevent your safety, protection, quality assurance, and operator intervention functions from responding to a failure, hazard, or unsafe state.",0.955657352544804,0.855203984183647,0.213800996045911,,,,,,
What is the purpose of 'T0885: Commonly Used Port' in ICS attacks?,Attackers use commonly open ports to blend malicious traffic with legitimate network traffic to avoid detection.,"[""['Attackers use commonly open ports to blend malicious traffic with legitimate network traffic to avoid detection.']""]","Adversaries may communicate over a commonly used port to bypass firewalls or network detection systems and to blend in with normal network activity, to avoid more detailed inspection. They may use the protocol associated with the port, or a completely different protocol.Â ",0.77480874028781,0.908324415235521,0.22708110380888,,,,,,
Which group is known for using the 'NotPetya' ransomware?,Sandworm Team,"[""['Sandworm Team']""]",Sandworm Team,0,1,1,,,,,,
"What is the alias for the threat group ""CyberAv3ngers""? ","The alias for ""CyberAv3ngers"" is ""Soldiers of Soloman.""","['[\'The alias for ""CyberAv3ngers"" is ""Soldiers of Soloman.""\']']","The alias for ""CyberAv3ngers"" is ""Soldiers of Soloman.""",0.958897651659724,1,1,,,,,,
Which threat group operates the REvil Ransomware-as-a-Service?,"The threat group that operates the REvil Ransomware-as-a-Service is ""GOLD SOUTHFIELD.""","['[\'The threat group that operates the REvil Ransomware-as-a-Service is ""GOLD SOUTHFIELD.""\']']","The threat group that operates the REvil Ransomware-as-a-Service is ""GOLD SOUTHFIELD"" and ""FIN7"".",0.997528154024191,0.973433001828352,0.618358250457088,,,,,,
"When was the ""CyberAv3ngers"" group first known to be active?","The ""CyberAv3ngers"" group has been known to be active since at least 2020.","['[\'The ""CyberAv3ngers"" group has been known to be active since at least 2020.\']']",2020,0.952997050874453,0.797152695210477,0.199288173802619,,,,,,
"What specific sectors were targeted by the ""HEXANE"" group?","The ""HEXANE"" group targeted the oil & gas, telecommunications, aviation, and internet service provider sectors.","['[\'The ""HEXANE"" group targeted the oil & gas\', \'telecommunications\', \'aviation\', \'and internet service provider sectors.\']']","The ""HEXANE"" group targeted the oil & gas, telecommunications, aviation, and internet service provider sectors.",0.990939457699533,1,1,,,,,,
"What is the MITRE ATT&CK ID for the ""Lazarus Group""?",G0032,"[""['G0032']""]"," The MITRE ATT&CK ID for the ""Lazarus Group"" is G0032.",0.725654397252793,0.78096391486651,0.195256078917206,,,,,,
"Which malware was used by the ""Dragonfly"" group against energy companies?",Havex,"[""['Havex']""]"," The malware used by the ""Dragonfly"" group is ""Backdoor.Oldrea"" (also known as ""Havex"").",0.730727921402109,0.791434990376209,0.197858747594052,,,,,,
"Which group is associated with the alias ""Pinchy Spider""?",FIN7,"[""['FIN7']""]","The group associated with the alias ""Pinchy Spider"" is ""GOLD SOUTHFIELD.""",0.7664580079975,0.752709635207686,0.188177408801921,,,,,,
"What kind of interface was defaced by the ""CyberAv3ngers"" group in their 2023 attack?",Human-Machine Interface (HMI),"[""['Human-Machine Interface (HMI)']""]","The ""CyberAv3ngers"" group defaced the Human-Machine Interface (HMI) in their 2023 attack.",0.711071606570751,0.831649614484822,0.957912403621205,,,,,,
What malware is described as the first to specifically target industrial control systems devices?,Stuxnet,"[""['Stuxnet']""]","The malware described as the first to specifically target industrial control systems devices is ""Stuxnet.""",0.843286366720358,0.912800411948625,0.228200102987156,,,,,,
"What threat group is associated with the aliases ""Labyrinth Chollima"" and ""ZINC""? ",Lazarus Group,"[""['Lazarus Group']""]","The threat group associated with the aliases ""Labyrinth Chollima"" and ""ZINC"" is ""Lazarus Group.""",0.814074961861014,0.866239497567637,0.216559874391909,,,,,,
"In which sectors did the ""EKANS"" ransomware cause significant operational disruptions?","Manufacturing, Energy, and Industrial Control","[""['Manufacturing', 'Energy', 'and Industrial Control']""]"," The ""EKANS"" ransomware caused significant operational disruptions in the energy, healthcare, and automotive manufacturing sectors.",0.773962639959493,0.77912146287973,0.494780365719932,,,,,,
 Which group's activities are primarily linked to the Russian origin?,APT28 (Fancy Bear),"[""['APT28 (Fancy Bear)']""]","The group primarily linked to Russian origin is ""Wizard Spider.""",0.71626293482784,0.743605939484665,0.685893905657228,,,,,,
"What is the alternative name for the malware ""SNAKEHOSE""?",EKANS,"[""['EKANS']""]","The alternative name for ""SNAKEHOSE"" is ""EKANS.""",0,0.863909579317691,0.215975948057062,,,,,,
Which threat group targeted Unitronics Programmable Logic Controllers (PLC) in 2023?,APT41,"[""['APT41']""]","The threat group that targeted Unitronics Programmable Logic Controllers (PLC) in 2023 is ""CyberAv3ngers.""",0.850896828386306,0.776327067606255,0.194081766901563,,,,,,
