questions,question_type,zero_shot_answers,zero_shot_contexts
What malware is associated with the 'Industroyer' attack?,factual,<b>The malware associated with the 'Industroyer' attack is known as Industroyer itself.</b>,The malware associated with the 'Industroyer' attack is known as Industroyer itself.
Which group is known for using 'TRITON' malware?,factual,"<b>The group known for using 'TRITON' malware is called ""Charming Kitten.""</b>","The group known for using 'TRITON' malware is called ""Charming Kitten."""
What is the purpose of the 'Havex' malware?,factual,"<b>The purpose of the 'Havex' malware is to facilitate cyber espionage and attacks on industrial control systems. It is designed to infiltrate networks, gather sensitive information, and potentially disrupt operations within critical infrastructure sectors.</b>","The purpose of the 'Havex' malware is to facilitate cyber espionage and attacks on industrial control systems. It is designed to infiltrate networks, gather sensitive information, and potentially disrupt operations within critical infrastructure sectors."
What is the relationship between 'BlackEnergy' malware and the 'Sandworm Team' group?,factual,<b>There is no established relationship between 'BlackEnergy' malware and the 'Sandworm Team' group.</b>,There is no established relationship between 'BlackEnergy' malware and the 'Sandworm Team' group.
What is the goal of 'T0804: block Reporting Message' in ICS environments?,factual,"<b>The goal of 'T0804: block Reporting Message' in ICS environments is to prevent unauthorized or malicious reporting messages from being sent or received. This helps to ensure the integrity and security of the communication within the control system, protecting it from potential threats that could disrupt operations or compromise data.</b>","The goal of 'T0804: block Reporting Message' in ICS environments is to prevent unauthorized or malicious reporting messages from being sent or received. This helps to ensure the integrity and security of the communication within the control system, protecting it from potential threats that could disrupt operations or compromise data."
Which malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS)?,factual,"<b>The malware designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS) is known as ""TRITON.""</b>","The malware designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS) is known as ""TRITON."""
What is 'T0812: Module Firmware' used for in ICS attacks?,factual,<b>'T0812: Module Firmware' is used in ICS attacks to exploit vulnerabilities in the firmware of industrial control system modules. This can allow attackers to manipulate or disrupt the operation of critical infrastructure by targeting the software that controls hardware components within these systems.</b>,'T0812: Module Firmware' is used in ICS attacks to exploit vulnerabilities in the firmware of industrial control system modules. This can allow attackers to manipulate or disrupt the operation of critical infrastructure by targeting the software that controls hardware components within these systems.
Which group is associated with the 'Industroyer' attack?,factual,<b>The group associated with the 'Industroyer' attack is known as Sandworm.</b>,The group associated with the 'Industroyer' attack is known as Sandworm.
What does 'T0806: Brute Force I/O' entail in ICS environments?,factual,"<b>'T0806: Brute Force I/O' in ICS environments refers to a technique where an attacker attempts to gain unauthorized access to systems by systematically trying various input combinations or credentials. This method exploits the input/output operations of industrial control systems, aiming to bypass security measures and gain control over critical infrastructure. The process can involve repeated attempts to access devices or systems, often leading to potential disruptions or unauthorized control if successful.</b>","'T0806: Brute Force I/O' in ICS environments refers to a technique where an attacker attempts to gain unauthorized access to systems by systematically trying various input combinations or credentials. This method exploits the input/output operations of industrial control systems, aiming to bypass security measures and gain control over critical infrastructure. The process can involve repeated attempts to access devices or systems, often leading to potential disruptions or unauthorized control if successful."
What role does 'T0835: Manipulate I/O Image' play in ICS attacks?,factual,"<b>'T0835: Manipulate I/O Image' refers to a technique used in industrial control system (ICS) attacks where an attacker alters the input/output (I/O) images of devices. This manipulation can lead to incorrect readings or commands being executed, potentially causing physical damage, operational disruptions, or safety hazards. By changing the I/O images, attackers can mislead operators or automate processes in a way that benefits their malicious objectives, making it a critical aspect of certain ICS attack strategies.</b>","'T0835: Manipulate I/O Image' refers to a technique used in industrial control system (ICS) attacks where an attacker alters the input/output (I/O) images of devices. This manipulation can lead to incorrect readings or commands being executed, potentially causing physical damage, operational disruptions, or safety hazards. By changing the I/O images, attackers can mislead operators or automate processes in a way that benefits their malicious objectives, making it a critical aspect of certain ICS attack strategies."
