question,answer,contexts,ground_truth,answer_relevancy,answer_similarity,answer_correctness,,,,,,
What malware is associated with the 'Industroyer' attack?,Industroyer,"['[""The \'Industroyer\' malware is associated with the \'Industroyer\' attack.""]']",The 'Industroyer' malware is associated with the 'Industroyer' attack.,1,0.855929135,0.213982284,,,,,,
Which group is known for using 'TRITON' malware?,Russian government hackers,"['[""The group \'TEMP.Veles\' is known for using \'TRITON\' malware.""]']",The group 'TEMP.Veles' is known for using 'TRITON' malware.,0,0.799583578,0.199895895,,,,,,
What is the purpose of the 'Havex' malware?,To gather information from industrial control systems,"['[""The \'Havex\' malware is used for espionage"", \'specifically targeting industrial control systems.\']']","The 'Havex' malware is used for espionage, specifically targeting industrial control systems.",0.999998982,0.837813658,0.709453415,,,,,,
What is the relationship between 'BlackEnergy' malware and the 'Sandworm Team' group?,Sandworm Team uses BlackEnergy to target energy sectors,"['[""\'BlackEnergy\' malware is used by the \'Sandworm Team\' group.""]']",'BlackEnergy' malware is used by the 'Sandworm Team' group.,0.912941151,0.897338327,0.599334582,,,,,,
What is the goal of 'T0804: block Reporting Message' in ICS environments?,To disrupt the communication within industrial control systems,"['[""The goal of \'T0804: Block Reporting Message\' is to send false data to ICS operators.""]']",1. Goal A: To hide the adversary's actions from the operator by blocking reporting messages containing telemetry data from reaching their intended target. 2. Goal B: To cause system impact by disrupting data acquisition and process control through the blocking of important reporting messages.,0.951479182,0.850094539,0.212523635,,,,,,
Which malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS)?,TRITON,"['[""The \'TRITON\' malware is designed to target Schneider Electric Triconex SIS.""]']",The 'TRITON' malware is designed to target Schneider Electric Triconex SIS.,0.853618106,0.830135895,0.207533974,,,,,,
What is 'T0812: Module Firmware' used for in ICS attacks?,To manipulate firmware of devices to disrupt processes,"['[""\'T0812: Module Firmware\' is used to modify or replace firmware in ICS devices.""]']","Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to change the passwords for these accounts as soon as possible, but some manufacturers may have devices that have passwords or usernames that cannot be changed. Default credentials are normally documented in an instruction manual that is either packaged with the device, published online through official means, or published online through unofficial means. Adversaries may leverage default credentials that have not been properly modified or disabled.",0.799213945,0.801760833,0.200440208,,,,,,
Which group is associated with the 'Industroyer' attack?,Sandworm Team,"['[""The group associated with the \'Industroyer\' attack is \'Sandworm Team\'.""]']",The group associated with the 'Industroyer' attack is 'Sandworm Team'.,0.995048639,0.876323867,0.594080967,,,,,,
What does 'T0806: Brute Force I/O' entail in ICS environments?,Attempting to overload the system inputs and outputs,"['[""\'T0806: Brute Force I/O\' involves sending rapid input/output commands to cause disruptions.""]']",T0806: Brute Force I/O' involves sending rapid input/output commands to cause disruptions.,0.953433353,0.812137817,0.203034454,,,,,,
What role does 'T0835: Manipulate I/O Image' play in ICS attacks?,Manipulates the display of operational data to hide actual readings,"['[""T0835: Manipulate I/O Image\' involves altering input/output images to disrupt ICS processes.""]']",T0835: Manipulate I/O Image' involves altering input/output images to disrupt ICS processes.,0,0.766071245,0.191517811,,,,,,
