question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,context_entity_recall,context_relevancy,answer_similarity,answer_correctness,,,,,,,,,
What malware is associated with the 'Industroyer' attack?,<b>The malware associated with the 'Industroyer' attack is known as Industroyer itself.</b>,"['[""The malware associated with the \'Industroyer\' attack is known as Industroyer itself.""]']",The 'Industroyer' malware is associated with the 'Industroyer' attack.,1,0.979393752407057,0.9999999999,1,0.666666664444444,1,0.950949400633286,0.987740721228697,,,,,,,,,
Which group is known for using 'TRITON' malware?,"<b>The group known for using 'TRITON' malware is called ""Charming Kitten.""</b>","['[\'The group known for using \\\'TRITON\\\' malware is called ""Charming Kitten.""\']']",The group 'TEMP.Veles' is known for using 'TRITON' malware.,1,0.986449234381664,0,0,0.4999999975,1,0.898932786813046,0.224733196703261,,,,,,,,,
What is the purpose of the 'Havex' malware?,"<b>The purpose of the 'Havex' malware is to facilitate cyber espionage and attacks on industrial control systems. It is designed to infiltrate networks, gather sensitive information, and potentially disrupt operations within critical infrastructure sectors.</b>","['[""The purpose of the \'Havex\' malware is to facilitate cyber espionage and attacks on industrial control systems. It is designed to infiltrate networks"", \'gather sensitive information\', \'and potentially disrupt operations within critical infrastructure sectors.\']']","The 'Havex' malware is used for espionage, specifically targeting industrial control systems.",1,1,0.9999999999,1,0.749999998125,1,0.950407628797107,0.612598938529967,,,,,,,,,
What is the relationship between 'BlackEnergy' malware and the 'Sandworm Team' group?,<b>There is no established relationship between 'BlackEnergy' malware and the 'Sandworm Team' group.</b>,"['[""There is no established relationship between \'BlackEnergy\' malware and the \'Sandworm Team\' group.""]']",'BlackEnergy' malware is used by the 'Sandworm Team' group.,1,0.985150438615334,0,0,0.999999995,1,0.906050107570877,0.226512526892719,,,,,,,,,
What is the goal of 'T0804: block Reporting Message' in ICS environments?,"<b>The goal of 'T0804: block Reporting Message' in ICS environments is to prevent unauthorized or malicious reporting messages from being sent or received. This helps to ensure the integrity and security of the communication within the control system, protecting it from potential threats that could disrupt operations or compromise data.</b>","['[""The goal of \'T0804: block Reporting Message\' in ICS environments is to prevent unauthorized or malicious reporting messages from being sent or received. This helps to ensure the integrity and security of the communication within the control system"", \'protecting it from potential threats that could disrupt operations or compromise data.\']']",1. Goal A: To hide the adversary's actions from the operator by blocking reporting messages containing telemetry data from reaching their intended target. 2. Goal B: To cause system impact by disrupting data acquisition and process control through the blocking of important reporting messages.,0.666666666666666,0.999999999999999,0.9999999999,0.5,0,1,0.868524317197475,0.217131079299368,,,,,,,,,
Which malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS)?,"<b>The malware designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS) is known as ""TRITON.""</b>","['[\'The malware designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS) is known as ""TRITON.""\']']",The 'TRITON' malware is designed to target Schneider Electric Triconex SIS.,1,0.986937471164115,0.9999999999,1,0.666666664444444,1,0.958124364605321,0.83953109115133,,,,,,,,,
What is 'T0812: Module Firmware' used for in ICS attacks?,<b>'T0812: Module Firmware' is used in ICS attacks to exploit vulnerabilities in the firmware of industrial control system modules. This can allow attackers to manipulate or disrupt the operation of critical infrastructure by targeting the software that controls hardware components within these systems.</b>,"['[""\'T0812: Module Firmware\' is used in ICS attacks to exploit vulnerabilities in the firmware of industrial control system modules. This can allow attackers to manipulate or disrupt the operation of critical infrastructure by targeting the software that controls hardware components within these systems.""]']","Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to change the passwords for these accounts as soon as possible, but some manufacturers may have devices that have passwords or usernames that cannot be changed.Â Default credentials are normally documented in an instruction manual that is either packaged with the device, published online through official means, or published online through unofficial means. Adversaries may leverage default credentials that have not been properly modified or disabled.",1,1,0.9999999999,0,0,1,0.798979799062146,0.472469669250354,,,,,,,,,
Which group is associated with the 'Industroyer' attack?,<b>The group associated with the 'Industroyer' attack is known as Sandworm.</b>,"['[""The group associated with the \'Industroyer\' attack is known as Sandworm.""]']",The group associated with the 'Industroyer' attack is 'Sandworm Team'.,1,0.977271497449302,0.9999999999,0,0.4999999975,1,0.960399574285627,0.615099893571406,,,,,,,,,
What does 'T0806: Brute Force I/O' entail in ICS environments?,"<b>'T0806: Brute Force I/O' in ICS environments refers to a technique where an attacker attempts to gain unauthorized access to systems by systematically trying various input combinations or credentials. This method exploits the input/output operations of industrial control systems, aiming to bypass security measures and gain control over critical infrastructure. The process can involve repeated attempts to access devices or systems, often leading to potential disruptions or unauthorized control if successful.</b>","['[""\'T0806: Brute Force I/O\' in ICS environments refers to a technique where an attacker attempts to gain unauthorized access to systems by systematically trying various input combinations or credentials. This method exploits the input/output operations of industrial control systems"", \'aiming to bypass security measures and gain control over critical infrastructure. The process can involve repeated attempts to access devices or systems\', \'often leading to potential disruptions or unauthorized control if successful.\']']",T0806: Brute Force I/O' involves sending rapid input/output commands to cause disruptions.,1,0.98080621990359,0.9999999999,0.75,0,1,0.895105851398239,0.223776462849559,,,,,,,,,
What role does 'T0835: Manipulate I/O Image' play in ICS attacks?,"<b>'T0835: Manipulate I/O Image' refers to a technique used in industrial control system (ICS) attacks where an attacker alters the input/output (I/O) images of devices. This manipulation can lead to incorrect readings or commands being executed, potentially causing physical damage, operational disruptions, or safety hazards. By changing the I/O images, attackers can mislead operators or automate processes in a way that benefits their malicious objectives, making it a critical aspect of certain ICS attack strategies.</b>","['[""\'T0835: Manipulate I/O Image\' refers to a technique used in industrial control system (ICS) attacks where an attacker alters the input/output (I/O) images of devices. This manipulation can lead to incorrect readings or commands being executed"", \'potentially causing physical damage\', \'operational disruptions\', \'or safety hazards. By changing the I/O images\', \'attackers can mislead operators or automate processes in a way that benefits their malicious objectives\', \'making it a critical aspect of certain ICS attack strategies.\']']",T0835: Manipulate I/O Image' involves altering input/output images to disrupt ICS processes.,1,0.945500845643188,0.9999999999,1,0,1,0.921932392421977,0.980483098105494,,,,,,,,,
