question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,context_entity_recall,context_relevancy,answer_similarity,answer_correctness,
What are the key differences between Industroyer and Havex in their targeting methods?,"Industroyer primarily targets specific industrial control systems (ICS) like the power grid, while Havex is known for its supply chain compromise approach by planting trojanized software installers on legitimate ICS/SCADA vendor websites, ultimately infecting host computers with a Remote Access Trojan.","['[\'were nearly indistinguishable with a semblance of functionality and interface that mimics the genuine product. (Citation: Control Global May 2019) \\\\n\\\\nF-Secure Labs analyzed the approach the adversary used to compromise victim systems with Havex. (Citation: Daavid Hentunen\', \'Antti Tikkanen June 2014) The adversary planted trojanized software installers available on legitimate ICS/SCADA vendor websites. After being downloaded\', \'this software infected the host computer with a Remote Access Trojan are introduced to the target environment. \\\\n\\\\nSupply chain compromise can occur at all stages of the supply chain\', \'from manipulation of development tools and environments to manipulation of developed products and tools distribution mechanisms. This may involve the compromise and replacement of legitimate software and patches\', \'such as on third party or vendor websites. Targeting of supply chain compromise can be done in attempts to infiltrate the environments of a specific audience. In control ""description"": ""Julian Rrushi\', \'Hassan Farhangi\', \'Clay Howey\', \'Kelly Carmichael\', \'Joey Dabell 2015\', \'December 08 A Quantitative Evaluation of the Target Selection of Havex ICS Malware Plugin Retrieved. 2019/04/01 ""\\n                }\\n            ],\\n            ""x_mitre_deprecated"": false,\\n            ""revoked"": false,\']']","Industroyer primarily targets power grids by manipulating ICS protocols, while Havex focuses on reconnaissance and spreading via industrial software providers.",0.666666666666666,0.861795369226784,0.9999999999,0.5,0.166666666388888,0.111111111111111,0.955315181612863,0.238836162409556,
How does GreyEnergy's functionality differ from that of BlackEnergy in targeting ICS environments?,"1. GreyEnergy is a multi-stage malware that primarily focuses on reconnaissance, data exfiltration, and persistence within targeted industrial control system (ICS) environments, while BlackEnergy, originally created for DDoS attacks, has evolved to support various plug-ins, including a variant of KillDisk, and is known for causing system disruptions, data theft, and destruction in ICS environments.
        2. GreyEnergy is known for its use of","['[\'""description"": ""[BlackEnergy](https://attack.mitre.org/software/S0089) is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks\', \'but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008\', \'as well as in targeting Ukrainian institutions. ""name"": ""BlackEnergy 3"",\\n            ""description"": ""[BlackEnergy 3](https://collaborate.mitre.org/attackics/index.php/Software/S0004) is a malware toolkit that has been used by both criminal and APT actors. It support various plug-ins including a variant of KillDisk. It is known to have been used against the Ukrainian power grid. (Citation: Booz Allen Hamilton)"",\\n            ""type"": ""malware"",\\n            ""x_mitre_version"": ""1.0""\', \'state\', \'devices may be unable to send and receive requests\', \'and may not perform expected response functions in reaction to other events in the environment. \\\\n\\\\nSome ICS devices are particularly sensitive to DoS events\', \'and may become unresponsive in reaction to even a simple ping sweep. Adversaries may also attempt to execute a Permanent Denial-of-Service (PDoS) against certain devices\', \'such as in the case of the BrickerBot malware. (Citation: ICS-CERT April 2017) \\\\n\\\\nAdversaries may exploit a\']']","GreyEnergy is a more stealthy successor, focusing on espionage and persistent access, whereas BlackEnergy was more disruptive, leading to power outages.",0.4,0.892652163079806,0.9999999999,0,0.4999999975,0.25,0.864646040487331,0.76166044666456,
How do the attack objectives of CrashOverride differ from those of Triton?,"Unlike CrashOverride which primarily focused on disrupting industrial control systems (ICS) by causing targeted electric power grid blackouts, Triton's attack objectives were centered around manipulating specific Safety Instrumented Systems (SIS) within a petrochemical organization. Instead of causing power outages, Triton aimed to compromise safety-critical functions and potentially lead to catastrophic physical incidents.","['[\'""description"": ""[Triton](https://attack.mitre.org/software/S1009) is an attack framework built to interact with Triconex Safety Instrumented System (SIS) controllers.(Citation: Blake Johnson\', \'Dan Caban\', \'Marina Krotofil\', \'Dan Scali\', \'Nathan Brubaker\', \'Christopher Glyer December 2017)(Citation: Dragos December 2017)(Citation: DHS CISA February 2019)(Citation: Schneider Electric January 2018)(Citation: Julian Gutmanis March 2019)(Citation: Schneider December 2018)(Citation: Jos Wetzels ""description"": ""[Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030) was a campaign employed by [TEMP.Veles](https://attack.mitre.org/groups/G0088) which leveraged the [Triton](https://attack.mitre.org/software/S1009) malware framework against a petrochemical organization.(Citation: Triton-EENews-2017) The malware and techniques used within this campaign targeted specific Triconex [Safety Controller](https://attack.mitre.org/assets/A0010)s within the ""description"": ""Blake Johnson\', \'Dan Caban\', \'Marina Krotofil\', \'Dan Scali\', \'Nathan Brubaker\', \'Christopher Glyer 2017\', \'December 14 Attackers Deploy New ICS Attack Framework TRITON and Cause Operational Disruption to Critical Infrastructure Retrieved. 2018/01/12 "",\\n                    ""url"": ""https://www.fireeye.com/blog/threat-research/2017/12/attackers-deploy-new-ics-attack-framework-triton.html""\\n                }\\n            ],\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\']']","CrashOverride aims to disrupt electrical grids by targeting specific ICS protocols, whereas Triton seeks to manipulate safety systems to cause physical damage.",0.5,0.88165012569053,0.9999999999,0.5,0.166666666388888,0.333333333333333,0.916240985483425,0.729060246370856,
In what ways do the operational goals of Stuxnet differ from those of Duqu?,"The operational goals of Stuxnet and Duqu differ in several ways. While Stuxnet was primarily designed to sabotage Iran's nuclear program by targeting industrial control systems (specifically, it manipulated the frequency of centrifuges in uranium enrichment facilities), Duqu is a data-stealing malware that was used for reconnaissance and gathering sensitive information.
         Stuxnet's goal was to cause physical damage by manipulating the frequency of","['[\'""description"": ""Joel Langill. (2014\', \'January 21). Stuxnet Mitigation. Retrieved October 22\', \'2019."",\\n                    ""url"": ""https://scadahacker.com/resources/stuxnet-mitigation.html""\\n                },\\n                {\\n                    ""source_name"": ""Langer Stuxnet Analysis Nov 2013"",\\n                    ""description"": ""Ralph Langner. (2013\', ""November). To Kill a Centrifuge: A Technical Analysis of What Stuxnet\'s Creators Tried to Achieve. Retrieved March 27"", \'2018.""\', \'""description"": ""In states 3 and 4 [Stuxnet](https://attack.mitre.org/software/S0603) sends two network bursts (done through the DP_SEND primitive). The data in the frames are instructions for the frequency converter drives. For example one of the frames contains records that change the maximum frequency (the speed at which the motor will operate). The frequency converter drives consist of parameters\', \'which can be remotely configured via Profibus. One can write new values to these Dossier Feb 2011)(Citation: Symantec W32.Stuxnet Writeup)(Citation: CISA ICS Advisory (ICSA-10-238-01B))(Citation: SCADAhacker Stuxnet Mitigation Jan 2014)"",\']']","Stuxnet was designed to sabotage Iran's nuclear centrifuges, while Duqu was primarily used for intelligence gathering and espionage.",0,0.989979269865047,0.9999999999,1,0.166666666388888,0.333333333333333,0.92999412629723,0.794998264871452,
What distinguishes the attack vectors used by Havex from those used by Snake in ICS attacks? ,"While both Havex and Snake are known to target industrial control systems (ICS), they differ in their attack vectors. Havex is primarily known for its extensive use of spear-phishing emails with malicious attachments to infiltrate networks. However, it's also capable of leveraging web drive-by compromises, exploiting vulnerabilities in unpatched software, and using watering hole attacks. On the other hand, Snake, also known as Turla","['[\'""description"": ""Julian Rrushi\', \'Hassan Farhangi\', \'Clay Howey\', \'Kelly Carmichael\', \'Joey Dabell 2015\', \'December 08 A Quantitative Evaluation of the Target Selection of Havex ICS Malware Plugin Retrieved. 2019/04/01 ""\\n                }\\n            ],\\n            ""x_mitre_deprecated"": false,\\n            ""revoked"": false\', \'""description"": ""Daavid Hentunen\', \'Antti Tikkanen. (2014\', \'June 23). Havex Hunts For ICS/SCADA Systems. Retrieved April 1\', \'2019."",\\n                    ""url"": ""https://www.f-secure.com/weblog/archives/00002718.html""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ]\', \'""description"": ""Daavid Hentunen\', \'Antti Tikkanen. (2014\', \'June 23). Havex Hunts For ICS/SCADA Systems. Retrieved April 1\', \'2019."",\\n                    ""url"": ""https://www.f-secure.com/weblog/archives/00002718.html""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ],\']']","Havex spreads through trojanized software updates, whereas Snake uses custom-built tools to infiltrate and persist within ICS networks.",0.166666666666666,0.947474564737666,0.9999999999,0.5,0.333333332222222,1,0.912606884501302,0.805074798048402,
How did the methods of initial compromise differ between Dragonfly and Dragonfly 2.0? ,"1. Dragonfly (G0035) is known to have often used spear-phishing emails with malicious attachments or links to exploit victims, focusing on the use of Microsoft Office documents and Adobe Acrobat Reader.
        2. Dragonfly 2.0 (G0074) has primarily used watering hole attacks, compromising websites frequented by their targets to deliver malware through drive-by downloads. They have also been","['[\'""description"": ""[Dragonfly 2.0](https://attack.mitre.org/groups/G0074) is a suspected Russian group that has targeted government entities and multiple U.S. critical infrastructure sectors since at least December 2015. (Citation: US-CERT TA18-074A) (Citation: Symantec Dragonfly Sept 2017) There is debate over the extent of overlap between [Dragonfly 2.0](https://attack.mitre.org/groups/G0074) and [Dragonfly](https://attack.mitre.org/groups/G0035)\', \'but there is sufficient evidence to ""created_by_ref"": ""identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"",\\n            ""created"": ""2021-04-21T14:04:49.301Z"",\\n            ""modified"": ""2023-04-25T14:00:00.188Z"",\\n            ""relationship_type"": ""uses"",\\n            ""description"": ""[Dragonfly 2.0](https://attack.mitre.org/groups/G0035) communicated with command and control over TCP ports 445 and 139 or UDP 137 or 138. (Citation: Cybersecurity & Infrastructure Security Agency March 2018)""\', \'""description"": ""[Dragonfly](https://attack.mitre.org/groups/G0035) is a cyber espionage group that has been attributed to Russia\\\'s Federal Security Service (FSB) Center 16.(Citation: DOJ Russia Targeting Critical Infrastructure March 2022)(Citation: UK GOV FSB Factsheet April 2022) Active since at least 2010\', \'[Dragonfly](https://attack.mitre.org/groups/G0035) has targeted defense and aviation companies\', \'government entities\', \'companies related to industrial control systems\', \'and\']']","Dragonfly initially relied on watering hole attacks, while Dragonfly 2.0 primarily used spear-phishing and credential harvesting.",0.6,0.867446753954126,0.9999999999,1,0.3999999992,1,0.894934643644576,0.438013130811131,
What are the differences in the geopolitical motivations of APT28 and APT33 when attacking ICS? ,"1. APT28, also known as Fancy Bear, is believed to be associated with Russian military intelligence (GRU) and has been linked to attacks on the Democratic National Committee and other political targets. Its geopolitical motivations are primarily related to political and electoral influence operations.

2. APT33, on the other hand, is suspected to be of Iranian origin and has targeted organizations across multiple industries, with a particular interest in the aviation and","['[\'""name"": ""APT33"",\\n            ""description"": ""[APT33](https://attack.mitre.org/groups/G0064) is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the United States\', \'Saudi Arabia\', \'and South Korea\', \'with a particular interest in the aviation and energy sectors.(Citation: FireEye APT33 Sept 2017)(Citation: FireEye APT33 Webinar Sept 2017)"",\\n            ""aliases"": [ ""description"": ""[APT38](https://attack.mitre.org/groups/G0082) is a North Korean state-sponsored threat group that specializes in financial cyber operations; it has been attributed to the Reconnaissance General Bureau.(Citation: CISA AA20-239A BeagleBoyz August 2020) Active since at least 2014\', \'[APT38](https://attack.mitre.org/groups/G0082) has targeted banks\', \'financial institutions\', \'casinos\', \'cryptocurrency exchanges\', \'SWIFT system endpoints\', \'and ATMs in at least 38 countries ""description"": ""Jacqueline O\\\'Leary et al. 2017\', \'September 20 Insights into Iranian Cyber Espionage: APT33 Targets Aerospace and Energy Sectors and has Ties to Destructive Malware Retrieved. 2019/12/02 "",\\n                    ""url"": ""https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html""\\n                },\\n                {\\n                    ""source_name"": ""Junnosuke Yagi March 2017"",\']']","APT28, associated with Russia, typically targets Europe and NATO members, while APT33, linked to Iran, focuses on the energy sector in the Middle East.",0,0.897233240970709,0.9999999999,0.5,0.124999999843749,0.5,0.882782439675087,0.408195609918771,
How do the objectives of Sandworm Team differ from those of Lazarus Group in their ICS operations?,"The Sandworm Team, primarily attributed to Russia's GRU, is known for its destructive capabilities in ICS environments, aiming to gain understanding of processes and maintain persistence, possibly for future attacks. On the other hand, while the Lazarus Group, often linked to North Korea, also operates in ICS, their primary objectives typically revolve around espionage, intellectual property theft, and cyber-attacks for financial gain, rather than causing destruction.","['[\'""description"": ""[Sandworm Team](https://attack.mitre.org/groups/G0034) is a destructive threat group that has been attributed to Russia\\\'s General Staff Main Intelligence Directorate (GRU) Main Center for Special Technologies (GTsST) military unit 74455.(Citation: US District Court Indictment GRU Unit 74455 October 2020)(Citation: UK NCSC Olympic Attacks October 2020) This group has been active since at least 2009.(Citation: iSIGHT Sandworm 2014)(Citation: CrowdStrike VOODOO or destructive abilities. It has been suggested that the group maintains a presence in ICS for the purpose of gaining understanding of processes and to maintain persistence. (Citation: Dragos)""\', \'""description"": ""Ken Proska\', \'John Wolfram\', \'Jared Wilson\', \'Dan Black\', \'Keith Lunden\', \'Daniel Kapellmann Zafra\', \'Nathan Brubaker\', \'Tyler Mclellan\', \'Chris Sistrunk. (2023\', \'November 9). Sandworm Disrupts Power in Ukraine Using a Novel Attack Against Operational Technology. Retrieved March 28\', \'2024."",\\n                    ""url"": ""https://www.mandiant.com/resources/blog/sandworm-disrupts-power-ukraine-operational-technology""\\n                }\\n            ],\']']","Sandworm Team focuses on causing widespread disruption, as seen in the Ukraine power grid attacks, while Lazarus Group often seeks financial gain through cyber operations.",0.5,0.941137080539116,0.9999999999,0.5,0.666666664444444,0.166666666666666,0.903694002913872,0.333066357871325,
How do the impacts of NotPetya on ICS environments differ from those of WannaCry? ,"The impacts of NotPetya on ICS environments are more devastating compared to WannaCry due to its destructive nature and the disruption it causes to critical infrastructure operations. While WannaCry primarily targeted Windows systems for encryption and financial gain, NotPetya also overwrote the master boot record (MBR) of affected devices, rendering them unusable and causing widespread disruptions in ICS operations. This destructive behavior is not typically seen in ransom","['[\'state\', \'devices may be unable to send and receive requests\', \'and may not perform expected response functions in reaction to other events in the environment. \\\\n\\\\nSome ICS devices are particularly sensitive to DoS events\', \'and may become unresponsive in reaction to even a simple ping sweep. Adversaries may also attempt to execute a Permanent Denial-of-Service (PDoS) against certain devices\', \'such as in the case of the BrickerBot malware. (Citation: ICS-CERT April 2017) \\\\n\\\\nAdversaries may exploit a Security Agency March 2018)\\\\n\\\\nInformation collected from these systems may provide the adversary with a better understanding of the operational environment\', \'vendors used\', \'processes\', \'or procedures of the ICS.\\\\n\\\\nIn a campaign between 2011 and 2013 against ONG organizations\', \'Chinese state-sponsored actors searched document repositories for specific information such as\', \'system manuals\', \'remote terminal unit (RTU) sites\', \'personnel lists\', \'documents that included the string SCAD*\', \'user credentials\', \'""description"": ""Joe Slowik. (2019\', \'April 10). Implications of IT Ransomware for ICS Environments. Retrieved October 27\', \'2019."",\\n                    ""url"": ""https://dragos.com/blog/industry-news/implications-of-it-ransomware-for-ics-environments/""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\']']","NotPetya is more destructive, leading to widespread data loss and system reinstallation, while WannaCry primarily encrypts data for ransom.",0,0.967352640009671,0.9999999999,0,0,0.2,0.891372168956427,0.437131033889506,
What are the key operational differences between APT34 and APT10 in their attacks on ICS?,"1. Target Sectors: APT34 primarily targets the energy sector, while APT10 focuses on industries such as manufacturing, construction, and engineering.
        2. Attack Techniques: APT34 is known for using spear-phishing emails with malicious attachments, while APT10 typically relies on watering hole attacks and exploiting unpatched vulnerabilities in software.
        3. Destructive Capabilities: APT3","['[\'state\', \'devices may be unable to send and receive requests\', \'and may not perform expected response functions in reaction to other events in the environment. \\\\n\\\\nSome ICS devices are particularly sensitive to DoS events\', \'and may become unresponsive in reaction to even a simple ping sweep. Adversaries may also attempt to execute a Permanent Denial-of-Service (PDoS) against certain devices\', \'such as in the case of the BrickerBot malware. (Citation: ICS-CERT April 2017) \\\\n\\\\nAdversaries may exploit a ""url"": ""https://www.microsoft.com/security/blog/2020/06/18/inside-microsoft-threat-protection-mapping-attack-chains-from-cloud-to-endpoint/""\\n                },\\n                {\\n                    ""source_name"": ""FireEye APT33 Sept 2017"",\\n                    ""description"": ""O\\\'Leary\', \'J.\', \'et al. (2017\', \'September 20). Insights into Iranian Cyber Espionage: APT33 Targets Aerospace and Energy Sectors and has Ties to Destructive Malware. Retrieved February 15\', \'2018.""\', \'""description"": ""Jacqueline O\\\'Leary et al. 2017\', \'September 20 Insights into Iranian Cyber Espionage: APT33 Targets Aerospace and Energy Sectors and has Ties to Destructive Malware Retrieved. 2019/12/02 "",\\n                    ""url"": ""https://www.fireeye.com/blog/threat-research/2017/09/apt33-insights-into-iranian-cyber-espionage.html""\\n                },\\n                {\\n                    ""source_name"": ""Junnosuke Yagi March 2017"",\']']","APT34, linked to Iran, often focuses on Middle Eastern targets using custom tools, while APT10, associated with China, primarily conducts cyber espionage worldwide using supply chain compromises.",0,0.904600932028192,0.9999999999,1,0,0.125,0.872157696722886,0.518033746573218,
