question,answer,contexts,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall,context_entity_recall,context_relevancy,answer_similarity,answer_correctness,,,,,,,,,,
What malware is associated with the 'Industroyer' attack?,"1. 'Industroyer' malware
        2. Operates in industrial control systems
        3. Causes impact on high-voltage electrical substations
        4. Consequences: blackouts, damage to equipment, and potential injury or loss of life
        5. Prevention measures: network segmentation, ICS-specific security controls, and continuous monitoring
        6. Similarities: Communicates over IEC-104 protocol, similar to '","['[\'""description"": ""[Industroyer](https://attack.mitre.org/software/S0604) is a sophisticated malware framework designed to cause an impact to the working processes of Industrial Control Systems (ICS)\', \'specifically components used in electrical substations.(Citation: ESET Industroyer) [Industroyer](https://attack.mitre.org/software/S0604) was used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos Crashoverride 2017) This is the first publicly known malware ""description"": ""[Industroyer](https://collaborate.mitre.org/attackics/index.php/Software/S0001) is a sophisticated piece of malware designed to cause an [Impact](https://collaborate.mitre.org/attackics/index.php/Impact) to the working processes of Industrial Control Systems (ICS)\', \'specifically ICSs used in electrical substations.(Citation: ESET Win32/Industroyer) Industroyer was alleged to be used in the attacks on the Ukrainian power grid in December 2016.(Citation: Dragos ""description"": ""[Industroyer2](https://attack.mitre.org/software/S1072) is a compiled and static piece of malware that has the ability to communicate over the IEC-104 protocol. It is similar to the IEC-104 module found in [Industroyer](https://attack.mitre.org/software/S0604). Security researchers assess that [Industroyer2](https://attack.mitre.org/software/S1072) was designed to cause impact to high-voltage electrical substations. The initial\']']",The 'Industroyer' malware is associated with the 'Industroyer' attack.,0.5,0.9269123254661596,0.9999999999,1,0.3333333322222222,0.3333333333333333,0.8572801205181759,0.964320030129544,,,,,,,,,,
Which group is known for using 'TRITON' malware?,"1. 'TRITON' Malware: TEMP.Veles, Triton Safety Instrumented System Attack, Triconex Safety Controller
        2. Role: Employed in sabotage and industrial espionage, targeting specific Triconex Safety Controllers within industrial organizations.
        3. Targeted Industries/Organizations: Petrochemical organization
        4. Unique Features: Designed to override safety systems and cause physical damage","['[\'""url"": ""https://www.eenews.net/articles/the-inside-story-of-the-worlds-most-dangerous-malware/""\\n                },\\n                {\\n                    ""source_name"": ""FireEye TRITON 2018"",\\n                    ""description"": ""Miller\', \'S. Reese\', \'E. (2018\', \'June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6\', \'2021.""\', \'""description"": ""[Triton Safety Instrumented System Attack](https://attack.mitre.org/campaigns/C0030) was a campaign employed by [TEMP.Veles](https://attack.mitre.org/groups/G0088) which leveraged the [Triton](https://attack.mitre.org/software/S1009) malware framework against a petrochemical organization.(Citation: Triton-EENews-2017) The malware and techniques used within this campaign targeted specific Triconex [Safety Controller](https://attack.mitre.org/assets/A0010)s within the ""description"": ""Jos Wetzels 2018\', \'January 16 Analyzing the TRITON industrial malware Retrieved. 2019/10/22 "",\\n                    ""url"": ""https://www.midnightbluelabs.com/blog/2018/1/16/analyzing-the-triton-industrial-malware""\\n                }\\n            ],\\n            ""object_marking_refs"": [\\n                ""marking-definition--fa42a846-8d90-4e51-bc29-71d5b4802168""\\n            ],\\n            ""modified"": ""2022-10-12T18:24:19.351Z"",\']']",The group 'TEMP.Veles' is known for using 'TRITON' malware.,0.5,0.9108450923643673,0.9999999999,1,0.999999995,0.5,0.875228591106383,0.21880714777659574,,,,,,,,,,
What is the purpose of the 'Havex' malware?,"1. The Havex malware is designed to spread and infect systems by planting trojanized software installers on legitimate ICS/SCADA vendor websites.
        2. After being downloaded, this software infects the host computer with a Remote Access Trojan.
        3. The potential targets of Havex are primarily industrial control systems (ICS) in various industries such as energy, water, and manufacturing.
        4. To protect themselves from Havex, organizations should","['[\'""description"": ""Julian Rrushi\', \'Hassan Farhangi\', \'Clay Howey\', \'Kelly Carmichael\', \'Joey Dabell 2015\', \'December 08 A Quantitative Evaluation of the Target Selection of Havex ICS Malware Plugin Retrieved. 2019/04/01 ""\\n                }\\n            ],\\n            ""x_mitre_deprecated"": false,\\n            ""revoked"": false\', \'were nearly indistinguishable with a semblance of functionality and interface that mimics the genuine product. (Citation: Control Global May 2019) \\\\n\\\\nF-Secure Labs analyzed the approach the adversary used to compromise victim systems with Havex. (Citation: Daavid Hentunen\', \'Antti Tikkanen June 2014) The adversary planted trojanized software installers available on legitimate ICS/SCADA vendor websites. After being downloaded\', \'this software infected the host computer with a Remote Access Trojan ""description"": ""Kyle Wilhoit. (2014\', \'July 17). Havex\', \'It\\\\u2019s Down With OPC. Retrieved October 22\', \'2019."",\\n                    ""url"": ""https://www.fireeye.com/blog/threat-research/2014/07/havex-its-down-with-opc.html""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ],\']']","The 'Havex' malware is used for espionage, specifically targeting industrial control systems.",0.6666666666666666,0.8896556903318875,0.9999999999,1,0,0.125,0.9014240366179092,0.2253560091544773,,,,,,,,,,
What is the relationship between 'BlackEnergy' malware and the 'Sandworm Team' group?,"1. The 'BlackEnergy' malware has been used by both criminal and APT actors, dating back to at least 2007.
        2. Its original purpose was to create botnets for conducting Distributed Denial of Service (DDoS) attacks, but its use has evolved to support various plug-ins.
        3. It is well known for being used during the confrontation between Georgia and Russia in 2008, as well","['[\'""description"": ""F-Secure Labs. (2014). BlackEnergy & Quedagh: The convergence of crimeware and APT attacks. Retrieved March 24\', \'2016."",\\n                    ""url"": ""https://blog-assets.f-secure.com/wp-content/uploads/2019/10/15163408/BlackEnergy_Quedagh.pdf""\\n                },\\n                {\\n                    ""source_name"": ""iSIGHT Sandworm 2014""\', \'""description"": ""In the Ukraine 2015 incident\', \'[Sandworm Team](https://attack.mitre.org/groups/G0034) sent spearphishing attachments to three energy distribution companies containing malware to gain access to victim systems. (Citation: UNITED STATES DISTRICT COURT WESTERN DISTRICT OF PENNSYLVANIA October 2020)"",\\n            ""relationship_type"": ""uses"",\\n            ""source_ref"": ""intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192""\', \'""description"": ""[BlackEnergy](https://attack.mitre.org/software/S0089) is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks\', \'but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008\', \'as well as in targeting Ukrainian institutions.\']']",'BlackEnergy' malware is used by the 'Sandworm Team' group.,1,0.8919137038200767,0.9999999999,1,0.999999995,0.25,0.8808978690945656,0.2202244672736414,,,,,,,,,,
What is the goal of 'T0804: block Reporting Message' in ICS environments?,"1. Goal: Adversaries may use T0804 to prevent reporting messages from reaching their intended target in ICS environments, potentially hiding their actions from operators.
        2. Technique: Blocking reporting messages
        3. Scope: In control systems managing physical processes
        4. Environment: Industrial Control Systems (ICS) environments","['[\'""relationship_type"": ""mitigates"",\\n            ""description"": ""Provide an alternative method for sending critical report messages to operators\', \'this could include using radio/cell communication to obtain messages from field technicians that can locally obtain telemetry and status data.\\\\n"",\\n            ""source_ref"": ""course-of-action--b11cad63-ef30-4eb8-af0d-6cc46eef3f3e"",\\n            ""target_ref"": ""attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b""\', \'""description"": ""Adversaries may block or prevent a reporting message from reaching its intended target. In control systems\', \'reporting messages contain telemetry data (e.g.\', \'I/O values) pertaining to the current state of equipment and the industrial process. By blocking these reporting messages\', \'an adversary can potentially hide their actions from an operator.\\\\n\\\\nBlocking reporting messages in control systems that manage physical processes may contribute to system impact\', \'causing ""description"": ""Monitor operational data for indicators of temporary data loss which may indicate a Denial of Service. This will not directly detect the technique\\\\u2019s execution\', \'but instead may provide additional evidence that the technique has been used and may complement other detections."",\\n            ""relationship_type"": ""detects"",\\n            ""source_ref"": ""x-mitre-data-component--931b3fc6-ad68-42a8-9018-e98515eedc95"",\']']",1. Goal A: To hide the adversary's actions from the operator by blocking reporting messages containing telemetry data from reaching their intended target. 2. Goal B: To cause system impact by disrupting data acquisition and process control through the blocking of important reporting messages.,1,0.8700690180966881,0.9999999999,1,0.16666666638888888,0.14285714285714285,0.8849791314729976,0.5962447828682493,,,,,,,,,,
Which malware is designed to target Schneider Electric Triconex Safety Instrumented Systems (SIS)?,"1. TRISIS (Triton) Malware: This malware family has been identified as targeting Schneider Electric Triconex Safety Instrumented Systems (SIS). It can manipulate control signals, affect the safety functions, and cause physical damage to the industrial process (Dragos. (2017, December 13). TRISIS Malware Analysis of Safety System Targeted Malware. Retrieved January 12, 20","['[\'""description"": ""Dragos. (2017\', \'December 13). TRISIS Malware Analysis of Safety System Targeted Malware. Retrieved January 12\', \'2018."",\\n                    ""url"": ""https://dragos.com/blog/trisis/TRISIS-01.pdf""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ]\', \'""created"": ""2023-03-30T19:25:22.673Z"",\\n            ""revoked"": false,\\n            ""external_references"": [\\n                {\\n                    ""source_name"": ""Industroyer2 Forescout July 2022"",\\n                    ""description"": ""Forescout. (2022\', \'July 14). Industroyer2 and  INCONTROLLER In-depth Technical Analysis of the Most Recent ICS-specific Malware. Retrieved March 30\', \'2023.""\', \'""url"": ""https://www.eenews.net/articles/the-inside-story-of-the-worlds-most-dangerous-malware/""\\n                },\\n                {\\n                    ""source_name"": ""FireEye TRITON 2018"",\\n                    ""description"": ""Miller\', \'S. Reese\', \'E. (2018\', \'June 7). A Totally Tubular Treatise on TRITON and TriStation. Retrieved January 6\', \'2021."",\']']",The 'TRITON' malware is designed to target Schneider Electric Triconex SIS.,0.4,0.9270596737794411,0.9999999999,0,0,1,0.9311984706123855,0.6077996176530964,,,,,,,,,,
What is 'T0812: Module Firmware' used for in ICS attacks?,"1. ""Module Firmware""
        2. ""ICS Attacks""
        3. ""Used for""
        In this case, the most critical keywords are ""Module Firmware"", ""ICS Attacks"", and ""Used for"" since they directly relate to the query and provide the necessary context. The answer would focus on explaining the role of ""Module Firmware"" in ICS attacks and how it is used.","['[\'""relationship_type"": ""mitigates"",\\n            ""description"": ""Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.\\\\n"",\\n            ""source_ref"": ""course-of-action--d48b79b2-076d-483e-949c-0d38aa347499"",\\n            ""target_ref"": ""attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0""\', \'""name"": ""Asset Inventory"",\\n            ""description"": ""This includes sources of current and expected devices on the network\', \'including the manufacturer\', \'model\', \'and necessary identifiers (e.g.\', \'IP and hardware addresses)"",\\n            ""x_mitre_data_source_ref"": ""x-mitre-data-source--b1717cb4-d536-4e2b-b5e5-07e67e26183c"",\\n            ""x_mitre_deprecated"": false,\\n            ""x_mitre_domains"": [\\n                ""enterprise-attack"",\\n                ""ics-attack""\\n            ]\', \'""x_mitre_version"": ""15.1"",\\n            ""description"": ""The ATT&CK for Industrial Control Systems (ICS) knowledge base categorizes the unique set of tactics\', \'techniques\', \'and procedures (TTPs) used by threat actors in the ICS technology domain. ATT&CK for ICS outlines the portions of an ICS attack that are out of scope of Enterprise and reflects the various phases of an adversary\\\\u2019s attack life cycle and the assets and systems they are known to target."",\']']","Adversaries may leverage manufacturer or supplier set default credentials on control system devices. These default credentials may have administrative permissions and may be necessary for initial configuration of the device. It is general best practice to change the passwords for these accounts as soon as possible, but some manufacturers may have devices that have passwords or usernames that cannot be changed.Â Default credentials are normally documented in an instruction manual that is either packaged with the device, published online through official means, or published online through unofficial means. Adversaries may leverage default credentials that have not been properly modified or disabled.",0,0.9437310288565288,0,0,0.071428571377551,0.25,0.7830345664522002,0.19575968009060973,,,,,,,,,,
Which group is associated with the 'Industroyer' attack?,"1. 'Industroyer'
2. 'attack'
3. 'group'
4. 'associated with'","['[\'(HMI)](https://attack.mitre.org/assets/A0002). The sectors that these PLCs can be commonly found in are water and wastewater\', \'energy\', \'food and beverage manufacturing\', \'and healthcare. The most notable feature of this attack was the defacement of the PLCs\\\' HMIs.(Citation: CISA AA23-335A IRGC-Affiliated December 2023)(Citation: Frank Bajak and Marc Levy December 2023)""\', \'{\\n                    ""source_name"": ""Ionut Arghire August 2019"",\\n                    ""description"": ""Ionut Arghire 2019\', \'August 28 Researchers Analyze Tools Used by \\\'Hexane\\\' Attackers Against Industrial Firms Retrieved. 2020/01/03 "",\\n                    ""url"": ""https://www.securityweek.com/researchers-analyze-tools-used-hexane-attackers-against-industrial-firms""\\n                },\\n                {\\n                    ""source_name"": ""Jeffery Burt August 2019""\', \'""relationship_type"": ""mitigates"",\\n            ""description"": ""Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.\\\\n"",\\n            ""source_ref"": ""course-of-action--d48b79b2-076d-483e-949c-0d38aa347499"",\\n            ""target_ref"": ""attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\']']",The group associated with the 'Industroyer' attack is 'Sandworm Team'.,0,0.9449910876780931,0.9999999999,0,0,0.25,0.8520133428951817,0.7130033357237955,,,,,,,,,,
What does 'T0806: Brute Force I/O' entail in ICS environments?,"1. T0806: Brute Force I/O may involve changing a range of I/O point values repetitively or a single point value repeatedly to manipulate a process function.
        2. The method used depends on the adversary's goal and the information they have about the target environment.
        3. If an adversary chooses to brute force a range of point values, they may be able to achieve an impact.
        4. To","['[\'""description"": ""Adversaries may repetitively or successively change I/O point values to perform an action. Brute Force I/O may be achieved by changing either a range of I/O point values or a single point value repeatedly to manipulate a process function. The adversary\\\'s goal and the information they have about the target environment will influence which of the options they choose. In the case of brute forcing a range of point values\', \'the adversary may be able to achieve an impact uses IOPCBrowseServerAddressSpace to look for items with the following strings: ctlSelOn\', \'ctlOperOn\', \'ctlSelOff\', \'ctlOperOff\', \'Pos and stVal.(Citation: ESET Industroyer)\\\\n\\\\n[Industroyer](https://attack.mitre.org/software/S0604) IEC 60870-5-104 module includes a range mode to discover Information Object Addresses (IOAs) by enumerating through each.(Citation: ESET Industroyer)""\', \'""description"": ""ICS-CERT. (2017\', \'October 21). Advanced Persistent Threat Activity Targeting Energy and Other Critical Infrastructure Sectors. Retrieved October 23\', \'2017."",\\n                    ""url"": ""https://www.us-cert.gov/ncas/alerts/TA17-293A""\\n                }\\n            ],\\n            ""relationship_type"": ""uses"",\\n            ""spec_version"": ""2.1"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\']']",T0806: Brute Force I/O' involves sending rapid input/output commands to cause disruptions.,0.75,0.8503569152704012,0.9999999999,0,0.9999999900000002,0.1111111111111111,0.8499262022757392,0.21247019341941947,,,,,,,,,,
What role does 'T0835: Manipulate I/O Image' play in ICS attacks?,"1. 'Manipulate I/O Image'
        2. This term is the specific technique from the ATT&CK for Industrial Control Systems (ICS) knowledge base that the question directly asks about. It is crucial to understanding the role of this technique in ICS attacks.
        3. Example:
        4. The ATT&CK for ICS outlines various tactics, techniques, and procedures used by threat actors in the industrial control systems domain. Among these, T","['[\'""relationship_type"": ""mitigates"",\\n            ""description"": ""Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.\\\\n"",\\n            ""source_ref"": ""course-of-action--d48b79b2-076d-483e-949c-0d38aa347499"",\\n            ""target_ref"": ""attack-pattern--cfe68e93-ce94-4c0f-a57d-3aa72cedd618"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0""\', \'""description"": ""A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk."",\\n            ""x_mitre_modified_by_ref"": ""identity--c78cb6e5-0c4b-4611-8297-d1b8b55e40b5"",\\n            ""x_mitre_domains"": [\\n                ""ics-attack""\\n            ],\\n            ""x_mitre_version"": ""1.0"",\\n            ""x_mitre_attack_spec_version"": ""2.1.0"",\\n            ""type"": ""course-of-action""\', \'""x_mitre_version"": ""15.1"",\\n            ""description"": ""The ATT&CK for Industrial Control Systems (ICS) knowledge base categorizes the unique set of tactics\', \'techniques\', \'and procedures (TTPs) used by threat actors in the ICS technology domain. ATT&CK for ICS outlines the portions of an ICS attack that are out of scope of Enterprise and reflects the various phases of an adversary\\\\u2019s attack life cycle and the assets and systems they are known to target."",\']']",T0835: Manipulate I/O Image' involves altering input/output images to disrupt ICS processes.,0,0.8396827751948743,0.9999999999,0,0,0.25,0.8658818428522042,0.591470460713051,,,,,,,,,,
